Using device: cuda
Loading pre-extracted embeddings...
Loaded 6493 samples.

Training Super Domain Mapper (OHNM + MixUp + Learnable Temp)...
Epoch 107/600 | Loss: 1.3097 | Temp: 0.0756 | LR: 2.94e-04
Epoch 108/600 | Loss: 1.9333 | Temp: 0.0754 | LR: 2.94e-04
Epoch 109/600 | Loss: 1.0193 | Temp: 0.0754 | LR: 2.94e-04
Epoch 110/600 | Loss: 1.3356 | Temp: 0.0754 | LR: 2.94e-04
Epoch 111/600 | Loss: 1.7447 | Temp: 0.0752 | LR: 2.93e-04
Epoch 112/600 | Loss: 1.2623 | Temp: 0.0752 | LR: 2.93e-04
Epoch 113/600 | Loss: 0.9077 | Temp: 0.0752 | LR: 2.93e-04
Epoch 114/600 | Loss: 0.9042 | Temp: 0.0753 | LR: 2.93e-04
Epoch 115/600 | Loss: 1.1182 | Temp: 0.0753 | LR: 2.92e-04
Epoch 116/600 | Loss: 0.8019 | Temp: 0.0754 | LR: 2.92e-04
Epoch 117/600 | Loss: 0.6506 | Temp: 0.0756 | LR: 2.92e-04
Epoch 118/600 | Loss: 1.2102 | Temp: 0.0757 | LR: 2.92e-04
Epoch 119/600 | Loss: 1.2394 | Temp: 0.0757 | LR: 2.91e-04
Epoch 120/600 | Loss: 1.1121 | Temp: 0.0756 | LR: 2.91e-04
Epoch 121/600 | Loss: 1.2762 | Temp: 0.0756 | LR: 2.91e-04
Epoch 122/600 | Loss: 1.7355 | Temp: 0.0755 | LR: 2.90e-04
Epoch 123/600 | Loss: 1.0676 | Temp: 0.0754 | LR: 2.90e-04
Epoch 124/600 | Loss: 0.8870 | Temp: 0.0755 | LR: 2.90e-04
Epoch 125/600 | Loss: 0.9187 | Temp: 0.0755 | LR: 2.89e-04
Epoch 126/600 | Loss: 1.2579 | Temp: 0.0755 | LR: 2.89e-04
Epoch 127/600 | Loss: 0.9682 | Temp: 0.0756 | LR: 2.89e-04
Epoch 128/600 | Loss: 1.6218 | Temp: 0.0755 | LR: 2.88e-04
Epoch 129/600 | Loss: 1.2076 | Temp: 0.0754 | LR: 2.88e-04
Epoch 130/600 | Loss: 1.2991 | Temp: 0.0753 | LR: 2.88e-04
Epoch 131/600 | Loss: 0.4798 | Temp: 0.0754 | LR: 2.87e-04
Epoch 132/600 | Loss: 1.0981 | Temp: 0.0755 | LR: 2.87e-04
Epoch 133/600 | Loss: 0.7725 | Temp: 0.0756 | LR: 2.87e-04
Epoch 134/600 | Loss: 0.7663 | Temp: 0.0758 | LR: 2.86e-04
Epoch 135/600 | Loss: 0.9536 | Temp: 0.0759 | LR: 2.86e-04
Epoch 136/600 | Loss: 0.7590 | Temp: 0.0760 | LR: 2.86e-04
Epoch 137/600 | Loss: 1.3673 | Temp: 0.0760 | LR: 2.85e-04
Epoch 138/600 | Loss: 0.7189 | Temp: 0.0761 | LR: 2.85e-04
Epoch 139/600 | Loss: 1.0553 | Temp: 0.0761 | LR: 2.84e-04
Epoch 140/600 | Loss: 0.8700 | Temp: 0.0761 | LR: 2.84e-04
Epoch 141/600 | Loss: 0.9146 | Temp: 0.0762 | LR: 2.84e-04
Epoch 142/600 | Loss: 1.1350 | Temp: 0.0762 | LR: 2.83e-04
Epoch 143/600 | Loss: 0.7422 | Temp: 0.0762 | LR: 2.83e-04
Epoch 144/600 | Loss: 1.0365 | Temp: 0.0762 | LR: 2.82e-04
Epoch 145/600 | Loss: 0.9059 | Temp: 0.0763 | LR: 2.82e-04
Epoch 146/600 | Loss: 1.1848 | Temp: 0.0763 | LR: 2.82e-04
Epoch 147/600 | Loss: 1.1463 | Temp: 0.0762 | LR: 2.81e-04
Epoch 148/600 | Loss: 1.1625 | Temp: 0.0762 | LR: 2.81e-04
Epoch 149/600 | Loss: 1.4684 | Temp: 0.0761 | LR: 2.80e-04
Epoch 150/600 | Loss: 0.7506 | Temp: 0.0761 | LR: 2.80e-04
Epoch 151/600 | Loss: 0.9069 | Temp: 0.0761 | LR: 2.79e-04
Epoch 152/600 | Loss: 1.0425 | Temp: 0.0762 | LR: 2.79e-04
Epoch 153/600 | Loss: 0.7451 | Temp: 0.0763 | LR: 2.79e-04
Epoch 154/600 | Loss: 1.5596 | Temp: 0.0762 | LR: 2.78e-04
Epoch 155/600 | Loss: 0.8775 | Temp: 0.0762 | LR: 2.78e-04
Epoch 156/600 | Loss: 0.8641 | Temp: 0.0762 | LR: 2.77e-04
Epoch 157/600 | Loss: 1.0210 | Temp: 0.0762 | LR: 2.77e-04
Epoch 158/600 | Loss: 1.1158 | Temp: 0.0762 | LR: 2.76e-04
Epoch 159/600 | Loss: 1.2824 | Temp: 0.0761 | LR: 2.76e-04
Epoch 160/600 | Loss: 1.0595 | Temp: 0.0761 | LR: 2.75e-04
Epoch 161/600 | Loss: 0.8009 | Temp: 0.0761 | LR: 2.75e-04
Epoch 162/600 | Loss: 1.3145 | Temp: 0.0761 | LR: 2.74e-04
Epoch 163/600 | Loss: 0.8777 | Temp: 0.0761 | LR: 2.74e-04
Epoch 164/600 | Loss: 0.8828 | Temp: 0.0762 | LR: 2.73e-04
